,Team Name,Team Region,Shots,Goals,Saves,Assists,Time at Full Boost,Total Distance Moved,Time at Supersonic Speed,Time in High Air,Powerslide Distance,Demos Inflicted,Demos Taken,Score,Winner,Demos Per Goal,ShotsPerGoal
549,ZNTRA,Asia-Pacific South,27.0,10.0,9.0,7.0,301.92,4727480.0,521.65,153.01,724.0,5.0,4.0,3,True,0.5,2.7
550,SCUBADRIVERS,Asia-Pacific South,19.0,4.0,15.0,3.0,242.99,5003233.0,563.59,165.83,962.0,7.0,6.0,0,False,1.75,4.75
551,DELUXEDREAM,Asia-Pacific South,27.0,10.0,13.0,7.0,233.8,4864056.0,548.16,150.31,696.0,6.0,7.0,3,True,0.6,2.7
552,PINEAPPLE CAKE,Asia-Pacific South,14.0,3.0,13.0,3.0,278.01,4567954.0,460.64,160.26,550.0,6.0,6.0,0,False,2.0,4.67
553,ASIA MANJI,Asia-Pacific South,24.0,7.0,11.0,5.0,345.69,4658788.0,572.65,159.2,589.0,6.0,6.0,3,True,0.86,3.43
554,TEAM NAZGUL,Asia-Pacific South,20.0,5.0,11.0,4.0,270.3,5222099.0,434.13,146.81,735.0,5.0,8.0,0,False,1.0,4.0
555,TEAM CELESTIAL,Asia-Pacific South,34.0,14.0,9.0,9.0,465.7,4998895.0,350.43,226.51,642.0,8.0,5.0,3,True,0.57,2.43
556,TEAM ATELIER,Asia-Pacific South,31.0,12.0,6.0,7.0,413.75,4613469.0,430.46,196.56,640.0,9.0,11.0,3,True,0.75,2.58
557,FLU ESPORTS,Asia-Pacific South,15.0,6.0,15.0,6.0,292.5,4706528.0,476.57,123.77,645.0,11.0,9.0,0,False,1.83,2.5
558,HALAL MEN,Asia-Pacific South,45.0,11.0,8.0,7.0,502.15,6270092.0,666.09,182.52,716.0,10.0,5.0,3,True,0.91,4.09
559,DELUXEDREAM,Asia-Pacific South,16.0,5.0,25.0,3.0,219.14,5930918.0,615.99,184.27,971.0,5.0,10.0,1,False,1.0,3.2
560,TEAM CELESTIAL,Asia-Pacific South,37.0,9.0,16.0,5.0,625.37,7139565.0,502.86,260.2,981.0,5.0,19.0,2,False,0.56,4.11
561,ASIA MANJI,Asia-Pacific South,26.0,10.0,25.0,5.0,459.67,7649111.0,887.58,277.59,1067.0,19.0,5.0,3,True,1.9,2.6
562,SANDROCK GAMING,Middle East & North Africa,28.0,10.0,10.0,8.0,438.35,4694791.0,536.82,228.76,451.0,9.0,7.0,3,True,0.9,2.8
563,SLOW GANG,Middle East & North Africa,13.0,3.0,14.0,1.0,261.99,4710360.0,628.99,192.26,690.0,7.0,9.0,0,False,2.33,4.33
564,TEAM FALCONS,Middle East & North Africa,25.0,11.0,13.0,10.0,306.58,4638610.0,558.69,203.38,773.0,16.0,11.0,3,True,1.45,2.27
565,RUTHLESSLY,Middle East & North Africa,18.0,3.0,11.0,3.0,199.09,4524654.0,483.71,203.48,562.0,11.0,16.0,0,False,3.67,6.0
566,THE ULTIMATES,Middle East & North Africa,41.0,10.0,15.0,10.0,334.19,6344752.0,779.14,246.6,704.0,19.0,9.0,1,False,1.9,4.1
