team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
G2 ESPORTS,North America,68.0,15.0,36.0,14.0,11953822.0,542.47,4579.86,3304.21,22.0,4,True,World Championship,Summer
FURIA ESPORTS,South America,57.0,12.0,41.0,9.0,11735185.0,556.62,5421.29,2432.09,12.0,2,False,World Championship,Summer
FAZE CLAN,North America,43.0,11.0,18.0,9.0,7009824.0,362.6,3174.63,1595.13,10.0,4,True,World Championship,Summer
TEAM FALCONS,Middle East & North Africa,25.0,3.0,22.0,3.0,7250592.0,351.33,3056.68,1718.71,12.0,0,False,World Championship,Summer
OPTIC GAMING,North America,34.0,7.0,26.0,6.0,9783460.0,472.03,4404.87,1966.92,13.0,2,False,World Championship,Summer
KARMINE CORP,Europe,48.0,11.0,20.0,8.0,9724012.0,521.61,3748.26,2657.79,23.0,4,True,World Championship,Summer
THE CLUB,South America,36.0,11.0,34.0,10.0,9083645.0,388.79,4197.04,1924.89,21.0,4,True,World Championship,Summer
DIGNITAS,Europe,55.0,11.0,20.0,5.0,8974208.0,353.84,3852.33,2260.67,17.0,2,False,World Championship,Summer
TEAM FALCONS,Middle East & North Africa,43.0,6.0,32.0,5.0,9429514.0,487.07,4462.52,1935.13,11.0,2,False,World Championship,Summer
KARMINE CORP,Europe,45.0,6.0,30.0,5.0,9509451.0,504.21,3847.11,2578.76,20.0,4,True,World Championship,Summer
FURIA ESPORTS,South America,66.0,10.0,34.0,8.0,11772795.0,509.93,4622.58,3101.27,14.0,4,True,World Championship,Summer
THE CLUB,South America,53.0,10.0,44.0,5.0,11539674.0,554.42,5553.33,2220.7,33.0,3,False,World Championship,Summer
MOIST ESPORTS,Europe,69.0,15.0,34.0,12.0,11810558.0,519.41,4867.63,2966.05,16.0,3,False,World Championship,Summer
FURIA ESPORTS,South America,58.0,15.0,45.0,12.0,11655049.0,496.89,5122.93,2715.24,18.0,4,True,World Championship,Summer
TEAM BDS,Europe,54.0,15.0,28.0,14.0,11605957.0,594.49,5192.04,2703.42,23.0,4,True,World Championship,Summer
KARMINE CORP,Europe,51.0,15.0,27.0,15.0,11659798.0,576.64,5030.64,2873.11,25.0,3,False,World Championship,Summer
G2 ESPORTS,North America,45.0,8.0,17.0,8.0,7445510.0,364.15,2712.29,2112.08,17.0,4,True,World Championship,Summer
NRG ESPORTS,North America,23.0,1.0,27.0,1.0,7159320.0,357.03,3290.68,1510.63,9.0,1,False,World Championship,Summer
FAZE CLAN,North America,53.0,15.0,36.0,14.0,11089626.0,442.97,4979.53,2668.43,25.0,4,True,World Championship,Summer
VERSION1,North America,56.0,15.0,31.0,11.0,11110475.0,551.22,4983.11,2692.94,33.0,3,False,World Championship,Summer
FURIA ESPORTS,South America,39.0,8.0,34.0,6.0,10234748.0,509.84,4623.84,2187.45,13.0,2,False,World Championship,Summer
TEAM BDS,Europe,61.0,18.0,29.0,14.0,10010525.0,523.3,4201.51,2630.25,19.0,4,True,World Championship,Summer
G2 ESPORTS,North America,46.0,14.0,38.0,12.0,9022216.0,485.48,3871.85,2162.11,22.0,4,True,World Championship,Summer
FAZE CLAN,North America,50.0,5.0,26.0,4.0,8961362.0,459.89,3731.48,2281.36,15.0,2,False,World Championship,Summer
TEAM BDS,Europe,36.0,10.0,19.0,8.0,7387374.0,355.54,3358.93,1685.25,11.0,4,True,World Championship,Summer
G2 ESPORTS,North America,33.0,5.0,21.0,4.0,7715431.0,400.42,3036.3,2034.62,21.0,1,False,World Championship,Summer
