match_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
6159ad6b143c37878b2384d4,WAZOOO,Oceania,34.0,7.0,25.0,5.0,6075615.0,241.72,2676.74,1499.2,16.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384d4,HMS ENDEAVOR,Oceania,43.0,11.0,21.0,8.0,6203411.0,181.48,2654.12,1493.78,7.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d5,THE GROGANS,Oceania,15.0,8.0,13.0,6.0,2938417.0,151.65,1383.29,691.83,6.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d5,BROS ON THEIR TOES,Oceania,19.0,2.0,5.0,2.0,3120468.0,147.88,1304.52,766.06,5.0,2,False,Regional 1,Fall
6159ad6b143c37878b2384d6,1620 KINGS,Oceania,24.0,7.0,18.0,5.0,5759541.0,222.65,2646.54,1318.19,18.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d6,TRIDENT ESPORTS,Oceania,26.0,4.0,12.0,2.0,5750149.0,200.48,2504.01,1443.68,14.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384d7,TISI,Oceania,37.0,10.0,12.0,6.0,4563299.0,144.25,2217.92,959.04,9.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d7,BOUGEE'S ANGELS,Oceania,23.0,5.0,20.0,3.0,4965645.0,167.68,1961.89,1238.25,17.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384d8,PANIK GAMING,Oceania,24.0,11.0,9.0,8.0,4479152.0,168.83,2019.38,1190.71,2.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d8,SMASHA5000,Oceania,15.0,3.0,13.0,3.0,4672509.0,156.53,2126.09,1107.23,8.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384d9,TEAM EROS,Oceania,25.0,11.0,12.0,9.0,4711832.0,222.4,1912.39,1299.54,8.0,3,True,Regional 1,Fall
